country,avg_debt_to_gdp,deficit_volatility,avg_debt_growth,dominant_cluster,n_years
AT,74.57648533412697,1.912598082655129,4.124584760842947,1,29
BE,104.72244895621103,2.1695760985778634,2.855053136734073,1,29
BG,30.7135209434485,2.287402600914149,4.704969475797255,0,27
CY,75.11146637628339,4.000636261167574,6.592605695549901,1,29
CZ,31.08781358387967,2.164951125933449,11.998971391653765,0,29
DE,66.02301422161432,1.9750906764111156,3.274001790138665,0,29
DK,41.73592823397065,2.6606298208147017,1.3493295258069324,0,24
EA19,80.45184929247924,1.6975026073489747,4.131626716722023,1,29
EA20,80.34158816155399,1.6960557481072107,4.141496329817168,1,29
EE,9.55683401656729,1.9136781667773552,15.199041349008436,0,29
EL,143.84640726619497,4.355497630717558,4.694900288272957,1,29
ES,75.70176586528748,3.8333939702246433,6.268010865230446,1,29
EU27_2020,77.04271007354023,1.7312887851360605,4.3800280723134595,1,24
FI,55.81917616100826,3.2366937087934136,5.074062952893553,0,29
FR,83.49767513537151,1.838262914486688,5.470336097209943,1,29
HR,54.15193628143664,2.91538219098443,9.275313752482,0,29
HU,67.79934002042377,2.2148397206161863,6.260949305107462,1,29
IE,57.37563124405512,7.380691352973958,6.8385619879074895,0,29
IT,122.2210142351545,2.1484667809029494,3.5220168004627417,1,29
LT,29.55387050145583,2.9180126482771622,15.785406646231724,0,29
LU,15.910702686067111,1.937473026686278,10.558302844740355,0,29
LV,29.312908069599825,2.644301076250021,15.077958497086524,0,29
MT,56.97505449623688,3.2280117842543876,9.002581426797931,0,29
NL,55.10074534250594,1.9476996292534254,2.5273151923293065,0,29
PL,47.639896917314594,1.845834219370168,8.301210873694837,0,29
PT,93.35968408218146,2.918708675773693,5.666596035212437,1,29
RO,28.573149436382245,2.599842788624114,19.796899767691794,0,29
SE,44.97821957594818,1.6716252763796606,1.0840799861993906,0,29
SI,47.65262592005849,2.627213733844177,10.573845210533962,0,29
SK,45.92213541811416,2.878807364522639,12.217702465117819,0,29
