year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
2011,BE,102.8490114995456,-4.44142687937596,6.911823028523201,378745.4,389535.9,-16821.7,1
2012,BE,104.37276976111197,-4.348487336406185,3.9437956809629027,387934.9,404898.4,-16869.3,1
2013,BE,105.07163540887693,-3.163528723978204,2.4034177462790574,394616.3,414629.8,-12483.8,1
2014,BE,106.64399272715241,-3.1749194917106283,4.156454745896232,404958.3,431863.7,-12857.1,1
2015,BE,105.69264423470297,-2.475273019555372,1.697155838751896,415538.0,439193.1,-10285.7,1
2016,BE,105.77087482329449,-2.4310151234482182,3.187732229855178,428467.1,453193.4,-10416.1,1
2017,BE,102.63157657340702,-0.7632262173460421,0.4153635070590189,443407.2,455075.8,-3384.2,1
2018,BE,100.15623782622454,-1.0483973816290084,1.1281417293558693,459491.8,460209.7,-4817.3,1
2019,BE,97.69314471798532,-2.048181136143069,1.7763858519279419,479444.9,468384.8,-9819.9,1
2020,BE,111.36120706180839,-9.03446225117838,10.259470418339788,463750.9,516438.6,-41897.4,1
2021,BE,108.74058783449448,-5.401808368863616,6.5525892138968755,506047.2,550278.7,-27335.7,1
2022,BE,103.38287763373158,-3.6016875550387475,5.455199338080874,561309.1,580297.5,-20216.6,1
2023,BE,102.44629478284585,-4.006498927663654,6.344107979096925,602376.3,617112.2,-24134.2,1
2024,BE,103.88958517862653,-4.362442400250987,4.421497419756104,620271.8,644397.8,-27059.0,1
1998,BG,67.13550038697386,1.345478359230815,-3.0988517599544574,13437.6,9021.4,180.8,0
1999,BG,75.82393552216425,0.15307238136890447,7.61965991974638,12804.4,9708.8,19.6,0
2000,BG,70.47853185595568,0.10803324099722991,4.823459129861574,14440.0,10177.1,15.6,0
2001,BG,64.56841430215086,0.6790189433710776,0.9108685185367005,15905.3,10269.8,108.0,0
2002,BG,50.86478662112447,-1.059599617811801,-13.432588755379848,17478.3,8890.3,-185.2,0
2003,BG,43.22997292308347,-0.03776937276243065,-8.591386117453848,18798.3,8126.5,-7.1,0
2004,BG,35.680693304003185,1.7854095158629322,-7.386943948809455,21093.2,7526.2,376.6,0
